year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,10,1023,45.2,-1.0,,0.0,
2014,10,1023,33.4,-1.0,,0.0,
2014,11,986,48.2,-1.0,,0.0,
2014,11,986,36.2,-1.0,,0.0,
2014,11,986,85.4,-1.0,,0.0,
2014,11,986,73.7,-1.0,,0.0,
2014,11,986,123.7,-1.0,,0.0,
2014,11,986,109.3,-1.0,,0.0,
2014,11,986,69.1,-1.0,,0.0,
2014,11,986,70.80000000000001,-1.0,,0.0,
2014,11,986,58.8,-1.0,,0.0,
2014,11,986,74.5,-1.0,,0.0,
2014,11,986,45.2,-1.0,,0.0,
2014,11,986,33.4,-1.0,,0.0,
2014,12,1030,48.2,-1.0,,0.0,
2014,12,1030,36.2,-1.0,,0.0,
2014,12,1030,85.4,-1.0,,0.0,
2014,12,1030,73.7,-1.0,,0.0,
2014,12,1030,123.7,-1.0,,0.0,
2014,12,1030,109.3,-1.0,,0.0,
2014,12,1030,69.1,-1.0,,0.0,
2014,12,1030,70.80000000000001,-1.0,,0.0,
2014,12,1030,58.8,-1.0,,0.0,
2014,12,1030,74.5,-1.0,,0.0,
2014,12,1030,45.2,-1.0,,0.0,
2014,12,1030,33.4,-1.0,,0.0,
2014,13,1054,48.2,-1.0,,0.0,
2014,13,1054,36.2,-1.0,,0.0,
2014,13,1054,85.4,-1.0,,0.0,
2014,13,1054,73.7,-1.0,,0.0,
2014,13,1054,123.7,-1.0,,0.0,
2014,13,1054,109.3,-1.0,,0.0,
2014,13,1054,69.1,-1.0,,0.0,
2014,13,1054,70.80000000000001,-1.0,,0.0,
2014,13,1054,58.8,-1.0,,0.0,
2014,13,1054,74.5,-1.0,,0.0,
2014,13,1054,45.2,-1.0,,0.0,
2014,13,1054,33.4,-1.0,,0.0,
2014,14,1093,48.2,-1.0,,0.0,
2014,14,1093,36.2,-1.0,,0.0,
2014,14,1093,85.4,-1.0,,0.0,
2014,14,1093,73.7,-1.0,,0.0,
2014,14,1093,123.7,-1.0,,0.0,
2014,14,1093,109.3,-1.0,,0.0,
2014,14,1093,69.1,-1.0,,0.0,
2014,14,1093,70.80000000000001,-1.0,,0.0,
2014,14,1093,58.8,-1.0,,0.0,
2014,14,1093,74.5,-1.0,,0.0,
2014,14,1093,45.2,-1.0,,0.0,
2014,14,1093,33.4,-1.0,,0.0,
2014,15,1074,48.2,-1.0,,0.0,
2014,15,1074,36.2,-1.0,,0.0,
2014,15,1074,85.4,-1.0,,0.0,
2014,15,1074,73.7,-1.0,,0.0,
2014,15,1074,123.7,-1.0,,0.0,
2014,15,1074,109.3,-1.0,,0.0,
2014,15,1074,69.1,-1.0,,0.0,
2014,15,1074,70.80000000000001,-1.0,,0.0,
2014,15,1074,58.8,-1.0,,0.0,
2014,15,1074,74.5,-1.0,,0.0,
2014,15,1074,45.2,-1.0,,0.0,
2014,15,1074,33.4,-1.0,,0.0,
2014,16,912,48.2,-1.0,,0.0,
2014,16,912,36.2,-1.0,,0.0,
2014,16,912,85.4,-1.0,,0.0,
2014,16,912,73.7,-1.0,,0.0,
2014,16,912,123.7,-1.0,,0.0,
2014,16,912,109.3,-1.0,,0.0,
2014,16,912,69.1,-1.0,,0.0,
2014,16,912,70.80000000000001,-1.0,,0.0,
2014,16,912,58.8,-1.0,,0.0,
2014,16,912,74.5,-1.0,,0.0,
2014,16,912,45.2,-1.0,,0.0,
2014,16,912,33.4,-1.0,,0.0,
2014,17,825,48.2,-1.0,,0.0,
2014,17,825,36.2,-1.0,,0.0,
2014,17,825,85.4,-1.0,,0.0,
2014,17,825,73.7,-1.0,,0.0,
2014,17,825,123.7,-1.0,,0.0,
2014,17,825,109.3,-1.0,,0.0,
2014,17,825,69.1,-1.0,,0.0,
2014,17,825,70.80000000000001,-1.0,,0.0,
2014,17,825,58.8,-1.0,,0.0,
2014,17,825,74.5,-1.0,,0.0,
2014,17,825,45.2,-1.0,,0.0,
2014,17,825,33.4,-1.0,,0.0,
2014,18,742,48.2,-1.0,,0.0,
2014,18,742,36.2,-1.0,,0.0,
2014,18,742,85.4,-1.0,,0.0,
2014,18,742,73.7,-1.0,,0.0,
2014,18,742,123.7,-1.0,,0.0,
2014,18,742,109.3,-1.0,,0.0,
2014,18,742,69.1,-1.0,,0.0,
2014,18,742,70.80000000000001,-1.0,,0.0,
2014,18,742,58.8,-1.0,,0.0,
2014,18,742,74.5,-1.0,,0.0,
2014,18,742,45.2,-1.0,,0.0,
2014,18,742,33.4,-1.0,,0.0,
2014,19,597,48.2,-1.0,,0.0,
2014,19,597,36.2,-1.0,,0.0,
2014,19,597,85.4,-1.0,,0.0,
2014,19,597,73.7,-1.0,,0.0,
2014,19,597,123.7,-1.0,,0.0,
2014,19,597,109.3,-1.0,,0.0,
2014,19,597,69.1,-1.0,,0.0,
2014,19,597,70.80000000000001,-1.0,,0.0,
2014,19,597,58.8,-1.0,,0.0,
2014,19,597,74.5,-1.0,,0.0,
2014,19,597,45.2,-1.0,,0.0,
2014,19,597,33.4,-1.0,,0.0,
2014,20,552,48.2,-1.0,,0.0,
2014,20,552,36.2,-1.0,,0.0,
2014,20,552,85.4,-1.0,,0.0,
2014,20,552,73.7,-1.0,,0.0,
2014,20,552,123.7,-1.0,,0.0,
2014,20,552,109.3,-1.0,,0.0,
2014,20,552,69.1,-1.0,,0.0,
2014,20,552,70.80000000000001,-1.0,,0.0,
2014,20,552,58.8,-1.0,,0.0,
2014,20,552,74.5,-1.0,,0.0,
2014,20,552,45.2,-1.0,,0.0,
2014,20,552,33.4,-1.0,,0.0,
2014,21,407,48.2,-1.0,,0.0,
2014,21,407,36.2,-1.0,,0.0,
2014,21,407,85.4,-1.0,,0.0,
2014,21,407,73.7,-1.0,,0.0,
2014,21,407,123.7,-1.0,,0.0,
2014,21,407,109.3,-1.0,,0.0,
2014,21,407,69.1,-1.0,,0.0,
2014,21,407,70.80000000000001,-1.0,,0.0,
2014,21,407,58.8,-1.0,,0.0,
2014,21,407,74.5,-1.0,,0.0,
2014,21,407,45.2,-1.0,,0.0,
2014,21,407,33.4,-1.0,,0.0,
2014,22,424,48.2,-1.0,,0.0,
2014,22,424,36.2,-1.0,,0.0,
2014,22,424,85.4,-1.0,,0.0,
2014,22,424,73.7,-1.0,,0.0,
2014,22,424,123.7,-1.0,,0.0,
2014,22,424,109.3,-1.0,,0.0,
2014,22,424,69.1,-1.0,,0.0,
2014,22,424,70.80000000000001,-1.0,,0.0,
2014,22,424,58.8,-1.0,,0.0,
2014,22,424,74.5,-1.0,,0.0,
2014,22,424,45.2,-1.0,,0.0,
2014,22,424,33.4,-1.0,,0.0,
2014,23,312,48.2,-1.0,,0.0,
2014,23,312,36.2,-1.0,,0.0,
2014,23,312,85.4,-1.0,,0.0,
2014,23,312,73.7,-1.0,,0.0,
2014,23,312,123.7,-1.0,,0.0,
2014,23,312,109.3,-1.0,,0.0,
2014,23,312,69.1,-1.0,,0.0,
2014,23,312,70.80000000000001,-1.0,,0.0,
2014,23,312,58.8,-1.0,,0.0,
2014,23,312,74.5,-1.0,,0.0,
2014,23,312,45.2,-1.0,,0.0,
2014,23,312,33.4,-1.0,,0.0,
2014,24,295,48.2,-1.0,,0.0,
2014,24,295,36.2,-1.0,,0.0,
2014,24,295,85.4,-1.0,,0.0,
2014,24,295,73.7,-1.0,,0.0,
2014,24,295,123.7,-1.0,,0.0,
2014,24,295,109.3,-1.0,,0.0,
2014,24,295,69.1,-1.0,,0.0,
2014,24,295,70.80000000000001,-1.0,,0.0,
2014,24,295,58.8,-1.0,,0.0,
2014,24,295,74.5,-1.0,,0.0,
2014,24,295,45.2,-1.0,,0.0,
2014,24,295,33.4,-1.0,,0.0,
2014,25,229,48.2,-1.0,,0.0,
2014,25,229,36.2,-1.0,,0.0,
2014,25,229,85.4,-1.0,,0.0,
2014,25,229,73.7,-1.0,,0.0,
2014,25,229,123.7,-1.0,,0.0,
2014,25,229,109.3,-1.0,,0.0,
2014,25,229,69.1,-1.0,,0.0,
2014,25,229,70.80000000000001,-1.0,,0.0,
2014,25,229,58.8,-1.0,,0.0,
2014,25,229,74.5,-1.0,,0.0,
2014,25,229,45.2,-1.0,,0.0,
2014,25,229,33.4,-1.0,,0.0,
2014,26,175,48.2,-1.0,,0.0,
2014,26,175,36.2,-1.0,,0.0,
2014,26,175,85.4,-1.0,,0.0,
2014,26,175,73.7,-1.0,,0.0,
2014,26,175,123.7,-1.0,,0.0,
2014,26,175,109.3,-1.0,,0.0,
2014,26,175,69.1,-1.0,,0.0,
2014,26,175,70.80000000000001,-1.0,,0.0,
2014,26,175,58.8,-1.0,,0.0,
2014,26,175,74.5,-1.0,,0.0,
2014,26,175,45.2,-1.0,,0.0,
2014,26,175,33.4,-1.0,,0.0,
2014,27,159,48.2,-1.0,,0.0,
2014,27,159,36.2,-1.0,,0.0,
2014,27,159,85.4,-1.0,,0.0,
2014,27,159,73.7,-1.0,,0.0,
2014,27,159,123.7,-1.0,,0.0,
2014,27,159,109.3,-1.0,,0.0,
2014,27,159,69.1,-1.0,,0.0,
2014,27,159,70.80000000000001,-1.0,,0.0,
2014,27,159,58.8,-1.0,,0.0,
2014,27,159,74.5,-1.0,,0.0,
2014,27,159,45.2,-1.0,,0.0,
